frame_id,NOSE_x,NOSE_y,NOSE_z,NOSE_v,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_v,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_v,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_v,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_v,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_v,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_v,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_v,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_v,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_v,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_v,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_v,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_v,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_v,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_v,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_v,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_v,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_v,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_v,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_v,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_v,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_v,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_v,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_v,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_v,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_v,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_v,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_v,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_v,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_v,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_v,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_v,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_v
0,0.6047541499137878,0.4012730121612549,-0.15496738255023956,0.999997615814209,0.600354790687561,0.3893163800239563,-0.14335918426513672,0.9999974966049194,0.599594235420227,0.3886868357658386,-0.14354604482650757,0.9999977350234985,0.5988984107971191,0.388089120388031,-0.14359574019908905,0.9999980926513672,0.5993484258651733,0.3904162645339966,-0.1719067096710205,0.9999990463256836,0.5979253053665161,0.3910064995288849,-0.1720922887325287,0.9999994039535522,0.5960714817047119,0.3918423056602478,-0.17222313582897186,0.9999994039535522,0.5893400311470032,0.3936455249786377,-0.0794389545917511,0.9999994039535522,0.5859861969947815,0.3966633975505829,-0.2087850123643875,0.999998927116394,0.6018716096878052,0.41187942028045654,-0.12713086605072021,0.999998927116394,0.6000387072563171,0.41302141547203064,-0.16542398929595947,0.9999994039535522,0.5755927562713623,0.4571513831615448,0.04137255996465683,0.9999991655349731,0.5585153698921204,0.46768027544021606,-0.24740023910999298,0.9999994039535522,0.5546361207962036,0.5384829640388489,0.1761324107646942,0.8215290904045105,0.518900454044342,0.5552161335945129,-0.3196544349193573,0.999573290348053,0.5912344455718994,0.5552902817726135,0.23052473366260529,0.9834550619125366,0.5599775314331055,0.6088927388191223,-0.3647209703922272,0.9999494552612305,0.6030795574188232,0.5603734850883484,0.2498498260974884,0.9877285957336426,0.5711706280708313,0.622001051902771,-0.3992783725261688,0.9999324083328247,0.6042343378067017,0.5572171807289124,0.21794971823692322,0.9898170232772827,0.5755393505096436,0.6113560795783997,-0.3877246081829071,0.9999308586120605,0.5987746119499207,0.5546084046363831,0.21930018067359924,0.9890594482421875,0.5737700462341309,0.6034614443778992,-0.3607873022556305,0.9998419284820557,0.5264479517936707,0.597355842590332,0.09610054641962051,0.9999982118606567,0.5105466842651367,0.6046543121337891,-0.09607354551553726,0.9999983310699463,0.5650977492332458,0.7027004957199097,0.09328444302082062,0.9679750204086304,0.5649436116218567,0.708264946937561,-0.15605346858501434,0.9998869895935059,0.5217747688293457,0.816676914691925,0.14613297581672668,0.9931892156600952,0.5976340770721436,0.8571958541870117,-0.1480318307876587,0.9999526739120483,0.5058639049530029,0.830171525478363,0.14763054251670837,0.9938259720802307,0.5904241800308228,0.884785532951355,-0.14888574182987213,0.9998745918273926,0.5399454832077026,0.8666434288024902,0.10272929817438126,0.9942736029624939,0.63457190990448,0.8922608494758606,-0.21571926772594452,0.9999203681945801
1,0.6038804650306702,0.4014323353767395,-0.1633353978395462,0.9999976754188538,0.5998817682266235,0.3894370496273041,-0.1517564207315445,0.9999975562095642,0.5991101861000061,0.38888442516326904,-0.15196503698825836,0.9999977946281433,0.5983582735061646,0.3883737325668335,-0.1520092785358429,0.999998152256012,0.5990453958511353,0.3905804455280304,-0.18155069649219513,0.9999990463256836,0.5976355075836182,0.39115145802497864,-0.18175245821475983,0.9999994039535522,0.5957844257354736,0.3918694853782654,-0.18189114332199097,0.9999994039535522,0.5885075330734253,0.39367637038230896,-0.08880085498094559,0.9999994039535522,0.5854934453964233,0.39654842019081116,-0.22392013669013977,0.9999989867210388,0.6006633043289185,0.41210663318634033,-0.1356867253780365,0.999998927116394,0.5993524789810181,0.4132964611053467,-0.17566214501857758,0.9999994039535522,0.574846625328064,0.4576707184314728,0.03658377751708031,0.9999991655349731,0.5572925806045532,0.46794459223747253,-0.26140955090522766,0.9999994039535522,0.5552294850349426,0.5369089841842651,0.1795438677072525,0.824825644493103,0.5175790786743164,0.5527234673500061,-0.32271188497543335,0.999586284160614,0.5920031666755676,0.556122362613678,0.24842675030231476,0.984054446220398,0.5599223375320435,0.6084567308425903,-0.3501600921154022,0.9999521970748901,0.6036269664764404,0.5615242719650269,0.2724934220314026,0.9881046414375305,0.5708754062652588,0.6214068531990051,-0.38161319494247437,0.9999355673789978,0.6042619943618774,0.5587274432182312,0.2387315034866333,0.9901384711265564,0.5755422711372375,0.6101090908050537,-0.36727839708328247,0.9999339580535889,0.5988238453865051,0.5560052990913391,0.23699787259101868,0.9894291162490845,0.5738387107849121,0.6024326682090759,-0.3444424867630005,0.9998489022254944,0.5259700417518616,0.5968533158302307,0.09657622128725052,0.9999980330467224,0.5096747875213623,0.6043816208839417,-0.09654535353183746,0.999998152256012,0.5654033422470093,0.7027413845062256,0.0946754664182663,0.9657791256904602,0.565331757068634,0.7093556523323059,-0.15477478504180908,0.9998801350593567,0.521835207939148,0.8162543177604675,0.1506119817495346,0.9927480220794678,0.5975537300109863,0.8567561507225037,-0.13919785618782043,0.9999505877494812,0.5063530206680298,0.8297044634819031,0.1525244563817978,0.9933784008026123,0.5903693437576294,0.8845552802085876,-0.138947993516922,0.9998685717582703,0.5405842065811157,0.8665772080421448,0.10934619605541229,0.9939106106758118,0.6334913969039917,0.8914178013801575,-0.20161792635917664,0.999916136264801
2,0.5223463773727417,0.4965882897377014,-0.3019307553768158,0.9999924898147583,0.5325239300727844,0.49388501048088074,-0.31481197476387024,0.999991238117218,0.5348873138427734,0.495776504278183,-0.3149971067905426,0.9999908804893494,0.5371249914169312,0.49803704023361206,-0.3149641156196594,0.9999903440475464,0.5286480784416199,0.48968204855918884,-0.29979807138442993,0.9999969005584717,0.5283331274986267,0.48925381898880005,-0.3000635802745819,0.999998152256012,0.5279932618141174,0.48859524726867676,-0.3002640902996063,0.9999985098838806,0.5517505407333374,0.5105590224266052,-0.3106893301010132,0.999993085861206,0.5387817025184631,0.495291531085968,-0.24402770400047302,0.9999967217445374,0.5374449491500854,0.5049408674240112,-0.2930377125740051,0.9999880790710449,0.5343367457389832,0.5027070045471191,-0.27461469173431396,0.9999929666519165,0.5733363032341003,0.5739222764968872,-0.22927458584308624,0.999961256980896,0.5253311991691589,0.5226396918296814,-0.19241613149642944,0.9999973177909851,0.5553828477859497,0.6046149134635925,-0.1815001666545868,0.8253543376922607,0.4871291220188141,0.5746170878410339,-0.20744633674621582,0.9955840110778809,0.5586097240447998,0.5581818222999573,-0.14139695465564728,0.9574470520019531,0.48699793219566345,0.5970489382743835,-0.31273114681243896,0.9959737062454224,0.5583575963973999,0.5508630871772766,-0.14482846856117249,0.9603509306907654,0.4861624240875244,0.5996158123016357,-0.3421497941017151,0.993905246257782,0.5641133785247803,0.5450900793075562,-0.15833242237567902,0.9639105200767517,0.49367648363113403,0.5955040454864502,-0.3489142060279846,0.9943448305130005,0.5636013746261597,0.5476276278495789,-0.1439068466424942,0.9572384357452393,0.4964722692966461,0.5951089859008789,-0.3187766373157501,0.992775559425354,0.5331598520278931,0.651320219039917,-0.0071746669709682465,0.9999369382858276,0.5095001459121704,0.6209793090820312,0.007141529116779566,0.999983012676239,0.4944330155849457,0.7379921078681946,0.012412266805768013,0.9180378913879395,0.4745509624481201,0.7336409091949463,-0.05425311252474785,0.985516369342804,0.4581294059753418,0.8431527018547058,0.03802316635847092,0.9734621644020081,0.45770367980003357,0.8643290400505066,-0.054303474724292755,0.9893718957901001,0.45062023401260376,0.8639368414878845,0.03392857685685158,0.9555224776268005,0.4582216739654541,0.8914684653282166,-0.057701341807842255,0.9842610359191895,0.4264086186885834,0.8636378049850464,-0.054105568677186966,0.9813064336776733,0.42466649413108826,0.8684923052787781,-0.14111611247062683,0.9946017861366272
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.3784838914871216,0.4408365786075592,-0.10158319771289825,0.9999684691429138,0.37435704469680786,0.43141916394233704,-0.08961591869592667,0.9999420046806335,0.3733820617198944,0.43154045939445496,-0.08983674645423889,0.9999425411224365,0.3725476562976837,0.43164336681365967,-0.0897444561123848,0.999950110912323,0.3751048445701599,0.4322691261768341,-0.11404003202915192,0.9999699592590332,0.3746359050273895,0.4330803453922272,-0.11423279345035553,0.9999801516532898,0.37424415349960327,0.43385809659957886,-0.11436209827661514,0.999984622001648,0.3668574094772339,0.4367678761482239,-0.034566815942525864,0.9999545216560364,0.36831986904144287,0.4393264353275299,-0.14567233622074127,0.9999630451202393,0.37567251920700073,0.4510539472103119,-0.07859212160110474,0.9999697208404541,0.37571707367897034,0.4515407681465149,-0.11214487254619598,0.999981164932251,0.3697913587093353,0.5063685178756714,0.03641805425286293,0.9999634623527527,0.3435368239879608,0.5049564838409424,-0.19211800396442413,0.9999972581863403,0.3645264506340027,0.5926902294158936,0.07532589137554169,0.8124092221260071,0.32136252522468567,0.5936577916145325,-0.2506476938724518,0.9959298372268677,0.36844658851623535,0.6667292714118958,0.02233993448317051,0.9487231373786926,0.31087005138397217,0.6775619387626648,-0.2892616093158722,0.996268093585968,0.3648236095905304,0.6896764636039734,0.020580053329467773,0.9473599791526794,0.3097204864025116,0.7042785286903381,-0.3230622708797455,0.9942181706428528,0.3660569489002228,0.6907791495323181,-0.008433511480689049,0.952699601650238,0.31280016899108887,0.7046707272529602,-0.32375431060791016,0.9946073889732361,0.3662082254886627,0.6831042766571045,0.009645954705774784,0.9446424245834351,0.3138021230697632,0.6967358589172363,-0.2913598120212555,0.9927709698677063,0.34210696816444397,0.6660149097442627,0.07714921981096268,0.9999425411224365,0.32185253500938416,0.6640141010284424,-0.07713146507740021,0.9999843239784241,0.3537391126155853,0.7572648525238037,0.1779402196407318,0.9169469475746155,0.324055939912796,0.769687294960022,-0.052391402423381805,0.986626923084259,0.3805192708969116,0.8507388830184937,0.25894421339035034,0.9749588370323181,0.3161976635456085,0.8888270258903503,-0.006298614200204611,0.9902831315994263,0.37667587399482727,0.8753210306167603,0.2609991431236267,0.9562214016914368,0.30716198682785034,0.9074634313583374,-0.005607936065644026,0.9832087159156799,0.40980014204978943,0.8610283136367798,0.1962164044380188,0.982343852519989,0.3461197018623352,0.9130292534828186,-0.09290600568056107,0.9948639869689941
5,0.3784967064857483,0.44031381607055664,-0.09982594102621078,0.9999366998672485,0.37435922026634216,0.43079766631126404,-0.08688805997371674,0.9998579621315002,0.3733850419521332,0.43103206157684326,-0.08708366006612778,0.9998500943183899,0.37254786491394043,0.4312880337238312,-0.08700664341449738,0.9998770356178284,0.3750946819782257,0.4315311908721924,-0.11084476858377457,0.9999350309371948,0.37460511922836304,0.43246990442276,-0.11102239042520523,0.9999568462371826,0.37416332960128784,0.4334931969642639,-0.11113649606704712,0.9999683499336243,0.36684438586235046,0.4366966784000397,-0.028956541791558266,0.9998828768730164,0.3681715428829193,0.43930497765541077,-0.13776391744613647,0.9999223351478577,0.37575972080230713,0.45110079646110535,-0.07627145946025848,0.9999424815177917,0.3757839798927307,0.4517441987991333,-0.10911443084478378,0.9999673962593079,0.3697647452354431,0.5072400569915771,0.04449903219938278,0.9999638199806213,0.34200042486190796,0.5051423907279968,-0.18512314558029175,0.9999972581863403,0.3645263612270355,0.5921705961227417,0.09199543297290802,0.7811477184295654,0.3203292489051819,0.5937603712081909,-0.24145269393920898,0.9962701201438904,0.3684142231941223,0.6665076613426208,0.053039152175188065,0.9164707660675049,0.3109845221042633,0.6774866580963135,-0.28194373846054077,0.9965569376945496,0.36500608921051025,0.6886981725692749,0.05343431979417801,0.9094362854957581,0.30926448106765747,0.702690064907074,-0.3166158199310303,0.9945398569107056,0.36605677008628845,0.6896466016769409,0.024213265627622604,0.9181472659111023,0.3123994767665863,0.7026293277740479,-0.3171008229255676,0.9948810935020447,0.3661993741989136,0.6821785569190979,0.040485210716724396,0.9090970754623413,0.3137115240097046,0.6952905654907227,-0.28403687477111816,0.9927968382835388,0.34203076362609863,0.6660144925117493,0.07716831564903259,0.9999473690986633,0.32183361053466797,0.664226770401001,-0.07714755833148956,0.9999855160713196,0.3539383113384247,0.7588597536087036,0.1796950250864029,0.8950584530830383,0.3241812586784363,0.7712109684944153,-0.05439434573054314,0.9875954985618591,0.38040903210639954,0.8513211607933044,0.2759411633014679,0.9732699394226074,0.3160700500011444,0.8888267278671265,-0.017161188647150993,0.9910838603973389,0.376598060131073,0.8756862878799438,0.2797972857952118,0.9509188532829285,0.3070012032985687,0.9086385369300842,-0.017575658857822418,0.9819764494895935,0.4099905490875244,0.861491322517395,0.21873347461223602,0.9813562631607056,0.34598851203918457,0.9130560159683228,-0.10526137053966522,0.9950220584869385
6,0.377949595451355,0.43853798508644104,-0.108665332198143,0.9998853206634521,0.3738830089569092,0.4297034740447998,-0.09627355635166168,0.9997103810310364,0.3729502558708191,0.430131196975708,-0.09645797312259674,0.9996903538703918,0.37207791209220886,0.43052685260772705,-0.09639723598957062,0.999748945236206,0.3742116093635559,0.4302293658256531,-0.11927628517150879,0.9998796582221985,0.37349140644073486,0.4311225414276123,-0.11945226043462753,0.9999211430549622,0.37268418073654175,0.4319998025894165,-0.11956361681222916,0.999943196773529,0.3657313585281372,0.4364631175994873,-0.0396307036280632,0.9997700452804565,0.36572450399398804,0.4387926757335663,-0.1439768224954605,0.9998654723167419,0.3756464123725891,0.45061811804771423,-0.08567142486572266,0.9999058842658997,0.3755510449409485,0.45110318064689636,-0.11720918118953705,0.9999499917030334,0.36964595317840576,0.5071278214454651,0.03484315425157547,0.9999644160270691,0.3389160931110382,0.5051397681236267,-0.18862082064151764,0.9999972581863403,0.36464279890060425,0.5913257598876953,0.08747205138206482,0.7453501224517822,0.31897634267807007,0.5933055877685547,-0.24293363094329834,0.9965721964836121,0.36853787302970886,0.6658360958099365,0.04527504742145538,0.8734012246131897,0.31014543771743774,0.6774818897247314,-0.28524869680404663,0.9968152642250061,0.3663098216056824,0.6858801245689392,0.0462772473692894,0.8629493117332458,0.306499183177948,0.7003965973854065,-0.32039764523506165,0.9948349595069885,0.36711177229881287,0.6864325404167175,0.017147328704595566,0.8745688199996948,0.310407817363739,0.7014808654785156,-0.3219161331653595,0.9951334595680237,0.36683425307273865,0.6798768639564514,0.03290500119328499,0.8649218082427979,0.3122502267360687,0.694769561290741,-0.2878292202949524,0.9928117394447327,0.3419972062110901,0.6658158898353577,0.07673037797212601,0.999951958656311,0.3217841684818268,0.6640094518661499,-0.07669613510370255,0.9999867081642151,0.3550776243209839,0.7588444948196411,0.17934922873973846,0.8721458315849304,0.32362985610961914,0.7709667682647705,-0.0820680633187294,0.9886045455932617,0.38054367899894714,0.8522140383720398,0.2752705216407776,0.9723380208015442,0.31595534086227417,0.8867565393447876,-0.05114023759961128,0.9918506145477295,0.37648895382881165,0.8763052821159363,0.2790589928627014,0.9472431540489197,0.30685657262802124,0.9081820845603943,-0.05200263112783432,0.9815943837165833,0.4105178415775299,0.8616572618484497,0.21922126412391663,0.9807558059692383,0.3459840416908264,0.913301944732666,-0.13860276341438293,0.99524986743927
7,0.3743383288383484,0.4382091164588928,-0.1081787496805191,0.9998815655708313,0.371033638715744,0.4297187030315399,-0.0944640189409256,0.9996938705444336,0.3701953887939453,0.4301389157772064,-0.0946204885840416,0.9996743202209473,0.36944514513015747,0.43053174018859863,-0.09459365904331207,0.9997379183769226,0.3713364899158478,0.430247962474823,-0.11666737496852875,0.9998742938041687,0.3707195222377777,0.4311389923095703,-0.11682333797216415,0.9999176263809204,0.37007203698158264,0.4320284426212311,-0.11690525710582733,0.9999398589134216,0.36376726627349854,0.43662309646606445,-0.03418247774243355,0.9997628927230835,0.3641654849052429,0.43881192803382874,-0.1381729692220688,0.9998571276664734,0.3726060092449188,0.4506109356880188,-0.08409349620342255,0.999904990196228,0.3724807798862457,0.45091480016708374,-0.11448963731527328,0.9999492764472961,0.3692456781864166,0.5071237087249756,0.041479676961898804,0.999967098236084,0.33511173725128174,0.505374014377594,-0.18353517353534698,0.9999973773956299,0.36488640308380127,0.590278148651123,0.09488974511623383,0.7440449595451355,0.31662148237228394,0.5932984948158264,-0.23931238055229187,0.9968481063842773,0.36991870403289795,0.6644527316093445,0.05737701803445816,0.8734631538391113,0.30861416459083557,0.6778275966644287,-0.28612378239631653,0.9970710873603821,0.36903196573257446,0.6841417551040649,0.05793244391679764,0.8602056503295898,0.3030548691749573,0.7000640034675598,-0.32253503799438477,0.9951821565628052,0.36966246366500854,0.6844138503074646,0.028395388275384903,0.8729065656661987,0.3074680268764496,0.7015256881713867,-0.3256151080131531,0.9954496026039124,0.3685808479785919,0.6779929399490356,0.044832032173871994,0.8627876043319702,0.3098204731941223,0.6950423121452332,-0.2895801067352295,0.993066668510437,0.34198302030563354,0.6661510467529297,0.07707177102565765,0.9999562501907349,0.3212718367576599,0.6642391681671143,-0.07702641189098358,0.999987781047821,0.35679808259010315,0.7585523128509521,0.17499880492687225,0.8443390130996704,0.32324355840682983,0.7734893560409546,-0.10314799845218658,0.9895246624946594,0.3805834949016571,0.8528884053230286,0.276111900806427,0.9688489437103271,0.3160165846347809,0.8878811597824097,-0.07299207150936127,0.9924839735031128,0.3762969374656677,0.877170979976654,0.2805435061454773,0.9397483468055725,0.30688637495040894,0.9109309911727905,-0.0738816112279892,0.9803271293640137,0.41117167472839355,0.8620607256889343,0.22218461334705353,0.9791353940963745,0.3460945785045624,0.9137552976608276,-0.16099673509597778,0.9953898191452026
8,0.3723445534706116,0.43659862875938416,-0.1268349438905716,0.9998838901519775,0.3694387376308441,0.428702175617218,-0.11285259574651718,0.9996957778930664,0.36879751086235046,0.42917492985725403,-0.11302957683801651,0.9996755123138428,0.3682597875595093,0.4296037554740906,-0.11298392713069916,0.9997405409812927,0.3693479001522064,0.42929738759994507,-0.13587608933448792,0.9998758435249329,0.36864137649536133,0.43024352192878723,-0.13603682816028595,0.9999182820320129,0.36787599325180054,0.4311283230781555,-0.13612839579582214,0.9999401569366455,0.3627670109272003,0.4360164999961853,-0.04694243520498276,0.9997680187225342,0.3620595932006836,0.43775612115859985,-0.15196605026721954,0.9998583793640137,0.3708118796348572,0.44950878620147705,-0.10049475729465485,0.9999081492424011,0.3703761398792267,0.44955727458000183,-0.1319805532693863,0.9999510049819946,0.36853715777397156,0.5070207715034485,0.03709510713815689,0.9999694228172302,0.3326612710952759,0.5053256750106812,-0.19124290347099304,0.9999974966049194,0.3660961389541626,0.5880959630012512,0.0904458612203598,0.7324269413948059,0.31328272819519043,0.5918064713478088,-0.24738624691963196,0.9971268773078918,0.3730134069919586,0.6626706719398499,0.049786366522312164,0.8711757659912109,0.3025011718273163,0.6774699687957764,-0.30470478534698486,0.9973204135894775,0.372974693775177,0.6823428273200989,0.04895308241248131,0.8556475639343262,0.29575079679489136,0.6985107064247131,-0.3435201644897461,0.9955341219902039,0.3736223876476288,0.682468056678772,0.019038483500480652,0.8696149587631226,0.29974669218063354,0.7003868818283081,-0.34707266092300415,0.9957739114761353,0.37236934900283813,0.6763529777526855,0.03678826242685318,0.8587020635604858,0.3030751943588257,0.6940894722938538,-0.3086121678352356,0.9933894872665405,0.34168320894241333,0.6659482717514038,0.0774885043501854,0.9999601244926453,0.3197594881057739,0.6642872095108032,-0.07743246853351593,0.9999887943267822,0.3594055473804474,0.7572364211082458,0.18313392996788025,0.8175899386405945,0.32324880361557007,0.7771729230880737,-0.09510066360235214,0.9903072714805603,0.38077908754348755,0.8531001806259155,0.30049487948417664,0.9661847352981567,0.3162500560283661,0.8896576166152954,-0.02794237807393074,0.9930561184883118,0.3762969374656677,0.877284049987793,0.3061952590942383,0.9333426356315613,0.30687206983566284,0.9115453958511353,-0.02639405056834221,0.9790505170822144,0.4126318097114563,0.8626416325569153,0.24576914310455322,0.9782422780990601,0.3459574580192566,0.9141689538955688,-0.11463431268930435,0.9955246448516846
9,0.36976760625839233,0.4344880282878876,-0.12970729172229767,0.999891459941864,0.36704862117767334,0.42766377329826355,-0.11691506206989288,0.9997143745422363,0.366594135761261,0.4281100332736969,-0.1170947328209877,0.9996961355209351,0.3662261664867401,0.4285167157649994,-0.11704908311367035,0.9997578263282776,0.3668673634529114,0.4280894696712494,-0.139700785279274,0.999883234500885,0.3662755489349365,0.42887118458747864,-0.13986147940158844,0.9999228715896606,0.3656129240989685,0.4297131299972534,-0.1399424821138382,0.999943196773529,0.36103129386901855,0.4348568022251129,-0.05456479266285896,0.9997843503952026,0.3600224256515503,0.43645721673965454,-0.1579865962266922,0.9998652935028076,0.36849361658096313,0.44855931401252747,-0.10442347824573517,0.9999146461486816,0.3679162859916687,0.4483797252178192,-0.135506272315979,0.9999542832374573,0.3675870895385742,0.5066524147987366,0.028451642021536827,0.9999719858169556,0.33137384057044983,0.5052613615989685,-0.19283799827098846,0.999997615814209,0.36777493357658386,0.5855000615119934,0.08442753553390503,0.7355902791023254,0.31071656942367554,0.5899926424026489,-0.2383616864681244,0.997377336025238,0.375914990901947,0.6575353145599365,0.04601038247346878,0.8776586055755615,0.2982390522956848,0.6757210493087769,-0.2780890464782715,0.9975180625915527,0.37588661909103394,0.6785807609558105,0.04369721934199333,0.8613662719726562,0.29099732637405396,0.6953280568122864,-0.3115735948085785,0.995776891708374,0.37656670808792114,0.6789143681526184,0.012288118712604046,0.8753735423088074,0.2938040792942047,0.6965203285217285,-0.3182702362537384,0.9959947466850281,0.37504276633262634,0.6723479628562927,0.031971946358680725,0.8644554615020752,0.2980051040649414,0.6906904578208923,-0.28270310163497925,0.9935378432273865,0.34146860241889954,0.664177417755127,0.0767272338271141,0.9999635815620422,0.3196001350879669,0.6639931797981262,-0.07667268812656403,0.9999896287918091,0.3603733479976654,0.7555738091468811,0.1602892279624939,0.8056551218032837,0.3241419494152069,0.7766224145889282,-0.08649899065494537,0.9910571575164795,0.38083210587501526,0.8530911803245544,0.25932973623275757,0.9656005501747131,0.3165592849254608,0.8896124362945557,-0.02099756896495819,0.9935950040817261,0.3761478066444397,0.8776042461395264,0.26319533586502075,0.930692195892334,0.3069702386856079,0.9113582968711853,-0.019666031002998352,0.9781482219696045,0.41316160559654236,0.863054633140564,0.20010443031787872,0.9785523414611816,0.34591010212898254,0.9141672849655151,-0.1046234518289566,0.9957048892974854
