Video_ID,Ankle_Drag,Knee_Start,Knee_Min,Knee_Target,Hip_Tilt,Stance_Label
slice_pinpoint_142_landmarks.csv,18.1537,179.29,133.54,135.09,0.5803,0
slice_pinpoint_143_landmarks.csv,15.818,166.87,130.97,135.82,0.6301,0
slice_pinpoint_152_landmarks.csv,17.4815,179.97,147.34,153.5,0.8278,0
slice_pinpoint_153_landmarks.csv,8.8238,166.1,147.35,179.36,0.4686,0
slice_pinpoint_158_landmarks.csv,18.9092,175.3,135.74,159.67,0.9903,0
slice_pinpoint_159_landmarks.csv,20.0082,164.71,136.39,154.6,0.999,0
slice_pinpoint_38_landmarks.csv,12.1653,170.82,146.84,167.26,0.1849,0
slice_pinpoint_58_landmarks.csv,14.6215,179.99,109.83,138.49,0.5645,0
slice_pinpoint_63_landmarks.csv,11.1679,179.98,128.36,157.55,0.5078,0
slice_pinpoint_64_landmarks.csv,13.1202,143.81,128.37,159.98,0.744,0
slice_pinpoint_75_landmarks.csv,22.0497,175.88,125.19,169.95,0.9649,0
slice_pinpoint_84_landmarks.csv,4.2283,153.31,114.67,131.43,0.3002,0
slice_pinpoint_92_landmarks.csv,18.9698,179.85,146.27,146.73,0.9112,0
slice_pinpoint_94_landmarks.csv,3.9022,171.01,147.6,155.17,0.3582,0
slice_platform_105_landmarks.csv,1.9274,179.96,133.8,162.52,0.4104,1
slice_platform_128_landmarks.csv,6.479,179.93,138.58,153.32,0.0783,1
slice_platform_129_landmarks.csv,35.8029,179.83,138.39,152.87,0.8381,1
slice_platform_130_landmarks.csv,7.9403,179.87,134.41,159.14,0.0797,1
slice_platform_131_landmarks.csv,26.45,169.79,133.39,169.78,0.1023,1
slice_platform_156_landmarks.csv,5.1173,175.44,120.91,124.18,0.2304,1
slice_platform_157_landmarks.csv,3.5323,171.05,117.81,128.32,0.3985,1
slice_platform_32_landmarks.csv,2.6769,179.89,113.54,127.87,0.8342,1
slice_platform_50_landmarks.csv,4.9829,179.38,131.91,134.54,0.8979,1
slice_platform_53_landmarks.csv,9.6308,178.97,129.01,138.32,0.373,1
slice_platform_76_landmarks.csv,4.5566,173.95,130.06,143.88,0.4693,1
slice_platform_77_landmarks.csv,1.7986,164.73,126.63,138.5,0.5489,1
slice_platform_82_landmarks.csv,3.5252,161.63,128.45,141.59,0.4736,1
slice_platform_85_landmarks.csv,7.2953,179.99,137.06,142.16,0.6777,1
slice_platform_87_landmarks.csv,4.2863,179.87,135.39,137.67,0.4919,1
